Date,Description,Amount,Category,PaymentMethod,Month
04-04-2025,Chai Point,789.54,Food,Credit Card,April
24-03-2025,ACT Fibernet,1935.93,Bills,UPI,March
20-01-2025,More Supermarket,4797,Grocery,Credit Card,January
03-09-2025,CloudNine,12695.44,Healthcare,Net Banking,September
28-08-2025,BigBazaar,1306.88,Grocery,UPI,August
22-01-2025,Apollo Pharmacy,19592.02,Healthcare,Debit Card,January
12-04-2025,BMTC,677.17,Transport,Debit Card,April
14-02-2025,MakeMyTrip,4021.7,Travel,Credit Card,February
17-08-2025,Levis,3246.05,Clothing,UPI,August
11-11-2025,Croma,113281.26,Electronics,UPI,November
19-05-2025,Pepperfry,16505.62,Online Shopping,Credit Card,May
19-12-2025,Lenskart,2489.7,Online Shopping,Credit Card,December
22-06-2025,Aha,293.27,Entertainment,UPI,June
02-01-2025,Air India,15810.41,Travel,Credit Card,January
03-02-2025,Apollo Hospital,387.95,Healthcare,UPI,February
17-09-2025,DMart,2768.78,Grocery,Debit Card,September
01-05-2025,Biba,4439.68,Clothing,Debit Card,May
31-12-2025,Pantaloons,3486.6,Clothing,Debit Card,December
12-08-2025,BMTC,1886.25,Transport,Credit Card,August
29-04-2025,Vistara,29246.06,Travel,Credit Card,April
26-10-2025,JioMart,953.31,Grocery,Net Banking,October
16-07-2025,Yulu Bikes,1292.61,Transport,UPI,July
24-02-2025,Netflix,232.39,Entertainment,Credit Card,February
04-09-2025,Cream Stone,665.41,Food,Net Banking,September
12-04-2025,Nykaa,18212.33,Online Shopping,Net Banking,April
01-06-2025,Pantaloons,7011.38,Clothing,UPI,June
26-12-2025,Croma,52970.55,Electronics,UPI,December
15-11-2025,RedBus,398.65,Transport,Credit Card,November
07-09-2025,Booking.com,21773.55,Travel,UPI,September
31-03-2025,Boat Lifestyle,144088.15,Electronics,Credit Card,March
07-01-2025,Nilgiris,3367.14,Grocery,Credit Card,January
03-01-2025,Spencers,1362.21,Grocery,UPI,January
01-09-2025,Gas Agency,5937.54,Bills,Credit Card,September
17-09-2025,Reliance Digital,88527.84,Electronics,Credit Card,September
07-12-2025,Apple Music,851.61,Entertainment,Debit Card,December
12-12-2025,Meesho,12541.41,Online Shopping,UPI,December
27-10-2025,Apple Store,69864.78,Electronics,UPI,October
24-08-2025,Subway,466.35,Food,Credit Card,August
02-10-2025,IndiGo,24875.08,Travel,Credit Card,October
25-09-2025,Aha,754.78,Entertainment,Net Banking,September
04-12-2025,Yatra,4802.36,Travel,Debit Card,December
14-08-2025,Vivo Store,4538.49,Electronics,Credit Card,August
21-10-2025,Pepperfry,7830.8,Online Shopping,Credit Card,October
21-04-2025,Dominos,368.04,Food,UPI,April
15-07-2025,HP World,142238.41,Electronics,Credit Card,July
17-04-2025,Booking.com,12012.27,Travel,UPI,April
11-11-2025,Water Board,4291.7,Bills,Debit Card,November
16-06-2025,Rapido,907.11,Transport,UPI,June
10-08-2025,More Supermarket,1480.16,Grocery,Debit Card,August
27-01-2025,TSRTC,138.44,Transport,UPI,January
06-01-2025,Rapido,1628.81,Transport,UPI,January
04-09-2025,ACT Fibernet,1077.08,Bills,UPI,September
02-02-2025,Spencers,4747.96,Grocery,Net Banking,February
20-04-2025,BSNL,2964.74,Bills,Net Banking,April
28-09-2025,Uber,337.38,Transport,UPI,September
27-05-2025,US Polo,1782.95,Clothing,Credit Card,May
27-09-2025,Ola,963.89,Transport,Debit Card,September
20-01-2025,Samsung Store,60867.5,Electronics,Net Banking,January
16-12-2025,Jio Fiber,1020.02,Bills,UPI,December
11-09-2025,Gaana,989.62,Entertainment,Net Banking,September
14-03-2025,McDonalds,1026.65,Food,Credit Card,March
23-01-2025,OnePlus,141702.11,Electronics,Debit Card,January
27-03-2025,Cream Stone,466.15,Food,Credit Card,March
27-01-2025,Woodland,6932.98,Clothing,Net Banking,January
30-03-2025,IndiGo,7685.02,Travel,Credit Card,March
16-03-2025,Subway,651.4,Food,Net Banking,March
05-10-2025,Rapido,979.84,Transport,Net Banking,October
26-08-2025,Burger King,192.99,Food,Debit Card,August
09-06-2025,Apollo Pharmacy,14384.11,Healthcare,Debit Card,June
06-02-2025,Metro Rail,452.66,Transport,Credit Card,February
24-01-2025,Gaana,167.48,Entertainment,Debit Card,January
21-11-2025,More Supermarket,1544.45,Grocery,Credit Card,November
11-05-2025,Amazon Prime,251.79,Entertainment,Debit Card,May
04-10-2025,Reliance Fresh,3723.46,Grocery,Credit Card,October
02-12-2025,Aster,4217.92,Healthcare,Debit Card,December
15-01-2025,Yatra,21066.76,Travel,Debit Card,January
11-07-2025,Hotstar,970.11,Entertainment,Net Banking,July
28-04-2025,AirAsia,17877.83,Travel,Net Banking,April
17-06-2025,Rapido,1858.28,Transport,Credit Card,June
19-11-2025,Air India,3599.75,Travel,UPI,November
18-06-2025,Vodafone Idea,703.37,Bills,Net Banking,June
05-03-2025,Apple Store,34711.89,Electronics,Net Banking,March
26-09-2025,DMart,3222.32,Grocery,Debit Card,September
11-01-2025,Samsung Store,149113.6,Electronics,Net Banking,January
30-07-2025,Sony Center,106154.47,Electronics,UPI,July
08-12-2025,SonyLiv,387.63,Entertainment,Debit Card,December
03-04-2025,Pepperfry,11694.18,Online Shopping,Net Banking,April
08-11-2025,MedPlus,10772.9,Healthcare,Net Banking,November
17-07-2025,Nykaa,17263.74,Online Shopping,Net Banking,July
19-09-2025,Goibibo,23676.89,Travel,Credit Card,September
02-12-2025,Max Fashion,4285.52,Clothing,Net Banking,December
20-03-2025,Vistara,26974.48,Travel,Net Banking,March
05-08-2025,Barbeque Nation,493.66,Food,UPI,August
26-12-2025,Vodafone Idea,527.19,Bills,Debit Card,December
21-04-2025,PharmEasy,7262.52,Healthcare,UPI,April
20-06-2025,Dell Exclusive,10234.61,Electronics,UPI,June
01-09-2025,US Polo,5037.46,Clothing,UPI,September
02-09-2025,JioMart,2706.64,Grocery,Debit Card,September
20-01-2025,Booking.com,2232.34,Travel,UPI,January
05-12-2025,Spotify,861.94,Entertainment,Debit Card,December
26-04-2025,Burger King,691.83,Food,Credit Card,April
07-11-2025,OnePlus,47463.97,Electronics,Debit Card,November
25-06-2025,Water Board,4399.24,Bills,UPI,June
23-01-2025,Dell Exclusive,37042.87,Electronics,UPI,January
27-04-2025,Pepperfry,17899.65,Online Shopping,Credit Card,April
14-12-2025,Noise,120560.9,Electronics,Net Banking,December
13-08-2025,Air India,29906.37,Travel,UPI,August
14-03-2025,Metro Rail,168.41,Transport,Credit Card,March
14-07-2025,BSNL,880.16,Bills,UPI,July
15-01-2025,Yulu Bikes,77.25,Transport,UPI,January
03-04-2025,Netmeds,9441.02,Healthcare,UPI,April
15-05-2025,CloudNine,14280.56,Healthcare,Debit Card,May
27-06-2025,BSNL,4746.45,Bills,UPI,June
03-10-2025,BigBazaar,1687.56,Grocery,Credit Card,October
30-09-2025,Zara,1686.13,Clothing,Debit Card,September
18-09-2025,Aster,6278.96,Healthcare,Credit Card,September
27-01-2025,Airtel,542.76,Bills,Debit Card,January
02-11-2025,Taco Bell,150.79,Food,Debit Card,November
20-09-2025,Subway,230.44,Food,Net Banking,September
07-06-2025,YouTube Premium,534.3,Entertainment,Debit Card,June
24-08-2025,Saravana Bhavan,835.5,Food,Debit Card,August
16-12-2025,Zee5,455.09,Entertainment,Credit Card,December
13-04-2025,SonyLiv,814.41,Entertainment,Net Banking,April
23-08-2025,Wrogn,2683.55,Clothing,Debit Card,August
29-05-2025,Air India,7414.07,Travel,UPI,May
11-09-2025,OYO,4912.14,Travel,UPI,September
01-07-2025,Allen Solly,4142.69,Clothing,Credit Card,July
28-05-2025,Nykaa,17596.36,Online Shopping,Net Banking,May
30-03-2025,Amazon,18415.14,Online Shopping,Net Banking,March
02-09-2025,Max Fashion,5714.65,Clothing,Debit Card,September
22-08-2025,BSNL,3922.35,Bills,UPI,August
21-08-2025,AirAsia,19231.26,Travel,Debit Card,August
27-10-2025,Samsung Store,114562.9,Electronics,Credit Card,October
05-12-2025,Meesho,2131.87,Online Shopping,Net Banking,December
14-11-2025,Vodafone Idea,4328.55,Bills,Net Banking,November
05-01-2025,Myntra,6247.98,Online Shopping,Credit Card,January
06-02-2025,BigBazaar,4832.11,Grocery,UPI,February
18-06-2025,Apple Music,599.46,Entertainment,Credit Card,June
02-05-2025,Allen Solly,1986.61,Clothing,Net Banking,May
11-02-2025,Gas Agency,5797.84,Bills,UPI,February
06-07-2025,RedBus,994.53,Transport,Debit Card,July
27-05-2025,Max Fashion,2066.83,Clothing,Net Banking,May
03-08-2025,DMart,3970.15,Grocery,Credit Card,August
04-02-2025,HP World,145008.11,Electronics,Net Banking,February
19-05-2025,Apple Music,468.07,Entertainment,Credit Card,May
08-05-2025,Apollo Hospital,5930.81,Healthcare,Debit Card,May
08-10-2025,Cream Stone,397.8,Food,UPI,October
08-11-2025,Noise,123317.58,Electronics,Credit Card,November
28-02-2025,1mg,17506.31,Healthcare,Debit Card,February
05-07-2025,KFC,1394.93,Food,UPI,July
02-02-2025,Biba,1944.82,Clothing,Net Banking,February
29-05-2025,Flipkart,7653.66,Online Shopping,Net Banking,May
14-01-2025,PharmEasy,13392.33,Healthcare,Debit Card,January
07-03-2025,IndiGo,3876.57,Travel,Net Banking,March
16-11-2025,OYO,13344.24,Travel,Credit Card,November
08-04-2025,Fortis,18706.94,Healthcare,Net Banking,April
03-04-2025,Vistara,7238.15,Travel,UPI,April
08-01-2025,Amazon,7245.63,Online Shopping,Net Banking,January
03-08-2025,Burger King,825.7,Food,Net Banking,August
10-02-2025,Property Tax Online,3524.27,Bills,Debit Card,February
02-09-2025,Ajio,19087.25,Online Shopping,Credit Card,September
04-10-2025,Airtel,4935.02,Bills,UPI,October
06-01-2025,Gaana,924.88,Entertainment,Net Banking,January
27-03-2025,Rapido,280.65,Transport,Debit Card,March
30-12-2025,Barbeque Nation,1139.21,Food,UPI,December
26-01-2025,Airtel,4444.5,Bills,Debit Card,January
20-08-2025,Levis,7840.93,Clothing,Debit Card,August
28-01-2025,Jio Fiber,499.75,Bills,Net Banking,January
15-12-2025,Biba,2956.87,Clothing,Debit Card,December
08-11-2025,Nykaa,6814.9,Online Shopping,Credit Card,November
12-07-2025,Kauvery,724.92,Healthcare,Net Banking,July
22-08-2025,IndiGo,21341.75,Travel,Net Banking,August
01-01-2025,CloudNine,17662.65,Healthcare,Net Banking,January
07-04-2025,HP World,133048.53,Electronics,Debit Card,April
08-07-2025,CloudNine,15727.34,Healthcare,Debit Card,July
02-07-2025,Noise,98284.28,Electronics,Net Banking,July
10-08-2025,1mg,5748.93,Healthcare,Credit Card,August
19-10-2025,US Polo,5871.57,Clothing,Debit Card,October
27-05-2025,Vodafone Idea,4494.59,Bills,Credit Card,May
08-04-2025,Water Board,5901.46,Bills,Debit Card,April
24-07-2025,KFC,575.63,Food,Credit Card,July
20-10-2025,JioMart,3524.49,Grocery,Credit Card,October
27-03-2025,TNEB,2631.01,Bills,Debit Card,March
12-06-2025,ACT Fibernet,4964.08,Bills,UPI,June
11-07-2025,BSNL,2637.13,Bills,Debit Card,July
22-03-2025,Biba,6567.31,Clothing,UPI,March
24-06-2025,Apollo Pharmacy,4933.99,Healthcare,Credit Card,June
31-03-2025,HP World,119774.25,Electronics,Net Banking,March
17-03-2025,IRCTC,27699.45,Travel,UPI,March
05-11-2025,Saravana Bhavan,274.08,Food,Credit Card,November
22-02-2025,JioMart,3772.43,Grocery,UPI,February
17-07-2025,HP World,25577.05,Electronics,UPI,July
23-12-2025,Property Tax Online,217.2,Bills,Net Banking,December
11-04-2025,Biba,3070.09,Clothing,Debit Card,April
06-03-2025,Ajio,18560.12,Online Shopping,Debit Card,March
17-01-2025,TSRTC,1655.54,Transport,Credit Card,January
02-09-2025,Noise,79404.26,Electronics,UPI,September
26-06-2025,Lenskart,14353.27,Online Shopping,Net Banking,June
23-08-2025,Spencers,3028.58,Grocery,Net Banking,August
28-11-2025,Aster,2816.8,Healthcare,Net Banking,November
09-07-2025,Samsung Store,143910.77,Electronics,Net Banking,July
26-11-2025,Reliance Fresh,1603.62,Grocery,UPI,November
19-11-2025,Air India,3135.92,Travel,Credit Card,November
26-12-2025,Taco Bell,674.73,Food,Credit Card,December
28-10-2025,Apollo Pharmacy,1296.4,Healthcare,Debit Card,October
12-03-2025,Air India,28470.79,Travel,Debit Card,March
09-01-2025,Paradise Biryani,483.17,Food,UPI,January
10-06-2025,Nykaa,18078.03,Online Shopping,Credit Card,June
18-03-2025,OnePlus,146735.98,Electronics,UPI,March
01-07-2025,Aster,276.78,Healthcare,Net Banking,July
29-07-2025,Saravana Bhavan,1261.82,Food,UPI,July
24-08-2025,Airtel,4471.2,Bills,Debit Card,August
26-05-2025,BMTC,66.43,Transport,Net Banking,May
07-12-2025,Apollo Pharmacy,5452.85,Healthcare,Credit Card,December
05-06-2025,Dell Exclusive,43375.53,Electronics,UPI,June
22-01-2025,Dominos,663.04,Food,Net Banking,January
05-12-2025,Barbeque Nation,748.13,Food,Credit Card,December
29-08-2025,Apple Music,809.96,Entertainment,UPI,August
05-08-2025,BMTC,698.7,Transport,UPI,August
29-08-2025,TNEB,422.31,Bills,Net Banking,August
24-02-2025,Myntra,4248.89,Online Shopping,UPI,February
18-05-2025,Vivo Store,69143.95,Electronics,UPI,May
14-12-2025,BMTC,378.39,Transport,Credit Card,December
07-02-2025,A2B,315.65,Food,Credit Card,February
28-01-2025,Myntra,5350.06,Online Shopping,Debit Card,January
05-05-2025,BigBazaar,314.65,Grocery,Credit Card,May
03-11-2025,Myntra,8903.04,Online Shopping,UPI,November
07-05-2025,Reliance Digital,140838.53,Electronics,UPI,May
18-07-2025,Yatra,14668.51,Travel,Net Banking,July
13-06-2025,MedPlus,5348.35,Healthcare,UPI,June
22-10-2025,DMart,497.85,Grocery,UPI,October
25-08-2025,Reliance Digital,44489.53,Electronics,Net Banking,August
11-10-2025,Biba,1991.76,Clothing,Credit Card,October
07-08-2025,Boat Lifestyle,71015.98,Electronics,UPI,August
05-11-2025,Fortis,19237.79,Healthcare,Credit Card,November
16-12-2025,Dominos,482.55,Food,Net Banking,December
21-06-2025,Apple Music,376.58,Entertainment,Credit Card,June
25-01-2025,Metro Rail,1897.52,Transport,Debit Card,January
31-05-2025,Dominos,1374.35,Food,Debit Card,May
08-12-2025,Samsung Store,94511.16,Electronics,Credit Card,December
10-07-2025,Amazon Prime,712.81,Entertainment,Net Banking,July
03-05-2025,Zee5,310.35,Entertainment,UPI,May
26-11-2025,Subway,559.88,Food,Net Banking,November
24-08-2025,Vivo Store,95066.9,Electronics,Credit Card,August
03-06-2025,1mg,15906.96,Healthcare,UPI,June
29-06-2025,Spotify,890.13,Entertainment,Credit Card,June
15-09-2025,Spencers,4280.42,Grocery,Debit Card,September
12-02-2025,Asus Store,19218.71,Electronics,Net Banking,February
08-06-2025,Noise,49119.01,Electronics,UPI,June
05-10-2025,Max Fashion,6435.08,Clothing,UPI,October
30-03-2025,Aster,14902.82,Healthcare,UPI,March
10-02-2025,IRCTC,9336.2,Travel,Net Banking,February
25-11-2025,AirAsia,12580.06,Travel,Debit Card,November
04-11-2025,Apollo Pharmacy,19851.76,Healthcare,Credit Card,November
17-06-2025,Puma,5547.4,Clothing,Credit Card,June
06-02-2025,Airtel,405.59,Bills,Credit Card,February
15-10-2025,Booking.com,19665.82,Travel,Debit Card,October
20-05-2025,DMart,1101.03,Grocery,Debit Card,May
15-05-2025,RedBus,1507.47,Transport,Credit Card,May
20-03-2025,YouTube Premium,111.49,Entertainment,Net Banking,March
27-02-2025,ACT Fibernet,890.96,Bills,UPI,February
18-12-2025,Pepperfry,5604.69,Online Shopping,Debit Card,December
24-01-2025,More Supermarket,3818.78,Grocery,Credit Card,January
14-06-2025,Reliance Digital,69180.43,Electronics,Debit Card,June
29-07-2025,Flipkart,5195.02,Online Shopping,Net Banking,July
26-04-2025,Chai Point,395.26,Food,UPI,April
24-08-2025,Spencers,2790.2,Grocery,Debit Card,August
26-05-2025,Ajio,14158.96,Online Shopping,Net Banking,May
17-05-2025,HP World,141844.68,Electronics,UPI,May
10-10-2025,Tata Cliq,539.36,Online Shopping,UPI,October
29-07-2025,A2B,277.94,Food,UPI,July
11-08-2025,Pepperfry,14887.16,Online Shopping,Debit Card,August
09-05-2025,Zara,2076.81,Clothing,Credit Card,May
29-09-2025,Water Board,5333.09,Bills,Credit Card,September
26-06-2025,RedBus,943.21,Transport,Debit Card,June
15-05-2025,Amazon,2224.2,Online Shopping,UPI,May
07-11-2025,Amazon Prime,204.7,Entertainment,Net Banking,November
24-02-2025,H&M,3783.07,Clothing,Credit Card,February
03-09-2025,Nature's Basket,1889.3,Grocery,Net Banking,September
15-08-2025,Snapdeal,19497.19,Online Shopping,Debit Card,August
27-09-2025,Rapido,228.81,Transport,Debit Card,September
27-09-2025,Gas Agency,5157.62,Bills,Credit Card,September
18-02-2025,Cream Stone,1056.93,Food,Debit Card,February
17-02-2025,Air India,14802.7,Travel,Debit Card,February
01-09-2025,Lenskart,9416.72,Online Shopping,Net Banking,September
16-01-2025,PharmEasy,1725.8,Healthcare,Credit Card,January
24-10-2025,Amazon,5331.64,Online Shopping,Debit Card,October
31-05-2025,Netflix,313.6,Entertainment,UPI,May
18-06-2025,Vodafone Idea,691,Bills,Net Banking,June
01-12-2025,Airtel,5066.79,Bills,Debit Card,December
26-12-2025,TSRTC,766.43,Transport,Debit Card,December
11-06-2025,Netflix,647.68,Entertainment,Debit Card,June
13-12-2025,MakeMyTrip,19674.72,Travel,Debit Card,December
11-05-2025,OnePlus,45489.94,Electronics,Net Banking,May
28-03-2025,Chai Point,331.11,Food,Credit Card,March
10-04-2025,Pepperfry,9926.96,Online Shopping,Net Banking,April
22-08-2025,Meru Cabs,895.62,Transport,UPI,August
08-11-2025,BSNL,3956.82,Bills,UPI,November
30-03-2025,Jio Fiber,5398.66,Bills,Debit Card,March
12-04-2025,Spotify,248.75,Entertainment,Debit Card,April
21-10-2025,CloudNine,7516.25,Healthcare,Net Banking,October
23-06-2025,TSRTC,498.36,Transport,UPI,June
22-10-2025,CCD,799.04,Food,Credit Card,October
31-12-2025,Booking.com,15182.05,Travel,Debit Card,December
07-08-2025,Yulu Bikes,1953.54,Transport,UPI,August
31-05-2025,Nilgiris,4783.06,Grocery,UPI,May
05-07-2025,Dell Exclusive,140455.49,Electronics,Credit Card,July
27-10-2025,Cream Stone,796.01,Food,UPI,October
10-06-2025,MakeMyTrip,14469.33,Travel,Credit Card,June
15-01-2025,Amazon,7774.24,Online Shopping,Net Banking,January
24-03-2025,BMTC,1660.05,Transport,Debit Card,March
11-12-2025,Nykaa,12615.03,Online Shopping,UPI,December
11-01-2025,Adidas,4506.61,Clothing,Net Banking,January
24-12-2025,Reliance Fresh,1869.46,Grocery,Debit Card,December
24-08-2025,BMTC,1019.39,Transport,Debit Card,August
21-02-2025,Samsung Store,110070.13,Electronics,Net Banking,February
08-06-2025,Wrogn,4179.72,Clothing,Credit Card,June
26-04-2025,HP World,52458.14,Electronics,UPI,April
11-06-2025,Jio Fiber,1387.62,Bills,Debit Card,June
06-03-2025,Allen Solly,3437.12,Clothing,Credit Card,March
18-08-2025,Lenskart,13723.55,Online Shopping,Net Banking,August
14-01-2025,Amazon,7916.15,Online Shopping,UPI,January
02-01-2025,Star Bazaar,4235.13,Grocery,Credit Card,January
20-04-2025,More Supermarket,4413.21,Grocery,Credit Card,April
09-06-2025,Pepperfry,13284.4,Online Shopping,Debit Card,June
11-09-2025,Nike,1944.32,Clothing,UPI,September
03-08-2025,Ola,1181.36,Transport,Credit Card,August
27-06-2025,US Polo,6087.2,Clothing,Net Banking,June
03-10-2025,More Supermarket,831.87,Grocery,Debit Card,October
15-05-2025,Goibibo,6758.59,Travel,Net Banking,May
23-11-2025,KFC,1135.69,Food,Credit Card,November
25-09-2025,Croma,113294.3,Electronics,Credit Card,September
17-08-2025,RedBus,393.03,Transport,Credit Card,August
13-01-2025,McDonalds,1017.64,Food,UPI,January
08-09-2025,AirAsia,20569.42,Travel,Debit Card,September
28-03-2025,Adidas,2528.34,Clothing,Debit Card,March
12-04-2025,Star Bazaar,4341.93,Grocery,Debit Card,April
14-10-2025,Netflix,643.95,Entertainment,UPI,October
28-11-2025,Netflix,209.94,Entertainment,Debit Card,November
14-06-2025,ACT Fibernet,5015.72,Bills,UPI,June
11-11-2025,Adidas,3888.67,Clothing,Net Banking,November
03-01-2025,Yulu Bikes,597.81,Transport,Credit Card,January
19-05-2025,ACT Fibernet,2598.53,Bills,Credit Card,May
22-12-2025,IRCTC,26347.43,Travel,Credit Card,December
13-05-2025,More Supermarket,1839.22,Grocery,Credit Card,May
15-09-2025,Yulu Bikes,1317.18,Transport,Net Banking,September
09-02-2025,MedPlus,15844.52,Healthcare,Net Banking,February
31-03-2025,Samsung Store,136702.8,Electronics,Debit Card,March
13-01-2025,Vistara,28673.41,Travel,UPI,January
23-03-2025,Aster,18849.52,Healthcare,Debit Card,March
29-06-2025,CloudNine,10837.32,Healthcare,Net Banking,June
09-01-2025,Aha,876.32,Entertainment,Net Banking,January
03-12-2025,Chai Point,140.39,Food,Debit Card,December
02-02-2025,Apollo Pharmacy,14027.72,Healthcare,Net Banking,February
02-10-2025,Goibibo,3993.48,Travel,Credit Card,October
25-10-2025,OYO,22555.05,Travel,Net Banking,October
01-04-2025,Amazon Prime,372.8,Entertainment,Credit Card,April
20-06-2025,Nature's Basket,2052.43,Grocery,UPI,June
29-05-2025,Nature's Basket,2839.15,Grocery,UPI,May
28-04-2025,Dell Exclusive,76287.81,Electronics,Debit Card,April
16-09-2025,Apollo Hospital,8372.26,Healthcare,Debit Card,September
12-07-2025,Max Fashion,514.33,Clothing,UPI,July
25-08-2025,Samsung Store,90186.36,Electronics,UPI,August
03-03-2025,PharmEasy,13743.93,Healthcare,Debit Card,March
14-06-2025,Apple Music,677.52,Entertainment,Credit Card,June
08-07-2025,Spencers,1137.32,Grocery,Debit Card,July
05-04-2025,PharmEasy,2799.15,Healthcare,Debit Card,April
23-07-2025,Sony Center,80819.09,Electronics,Net Banking,July
17-10-2025,Zara,1943.06,Clothing,Credit Card,October
29-05-2025,Reliance Digital,19732.17,Electronics,UPI,May
30-10-2025,Ajio,13664.51,Online Shopping,Credit Card,October
16-02-2025,US Polo,7206.91,Clothing,Credit Card,February
23-05-2025,Apollo Hospital,2178.48,Healthcare,UPI,May
31-07-2025,BMTC,906.71,Transport,Credit Card,July
11-01-2025,Woodland,6028.14,Clothing,Credit Card,January
08-01-2025,Zee5,496.67,Entertainment,Credit Card,January
12-09-2025,DMart,1853.31,Grocery,Credit Card,September
04-02-2025,1mg,11064.92,Healthcare,UPI,February
13-07-2025,Ajio,491.01,Online Shopping,Credit Card,July
11-04-2025,More Supermarket,909.92,Grocery,UPI,April
21-02-2025,Meru Cabs,1636.4,Transport,Net Banking,February
05-07-2025,Burger King,497.69,Food,Credit Card,July
21-12-2025,Property Tax Online,1770.33,Bills,Debit Card,December
25-07-2025,Meru Cabs,773.1,Transport,Debit Card,July
29-06-2025,Nike,2179.35,Clothing,Debit Card,June
29-01-2025,Apollo Pharmacy,1140.03,Healthcare,UPI,January
24-10-2025,Max Fashion,6752.39,Clothing,Credit Card,October
16-10-2025,Wrogn,7455.07,Clothing,UPI,October
04-07-2025,DMart,4135.07,Grocery,Net Banking,July
22-04-2025,Uber,116.35,Transport,Credit Card,April
04-02-2025,Meesho,8484.9,Online Shopping,Credit Card,February
28-02-2025,DMart,4823.54,Grocery,Credit Card,February
15-01-2025,Chai Point,1287.3,Food,Debit Card,January
08-12-2025,Amazon,6182.72,Online Shopping,UPI,December
29-09-2025,Pantaloons,1554.38,Clothing,Credit Card,September
28-05-2025,DMart,3646.85,Grocery,Net Banking,May
23-01-2025,CCD,1131.08,Food,Debit Card,January
05-07-2025,CloudNine,4093.75,Healthcare,Credit Card,July
06-06-2025,Water Board,3152.5,Bills,UPI,June
28-07-2025,Biba,2893.94,Clothing,Debit Card,July
25-02-2025,MakeMyTrip,21145.29,Travel,Debit Card,February
23-02-2025,Gas Agency,1962.62,Bills,Net Banking,February
26-12-2025,Lenskart,3963.87,Online Shopping,Net Banking,December
22-11-2025,Rapido,1751.8,Transport,Debit Card,November
22-11-2025,Spotify,778.29,Entertainment,UPI,November
03-10-2025,MedPlus,12928.7,Healthcare,UPI,October
24-01-2025,Taco Bell,384,Food,UPI,January
03-01-2025,Fortis,1484.72,Healthcare,Credit Card,January
30-03-2025,Snapdeal,9763.1,Online Shopping,Debit Card,March
30-12-2025,TNEB,1314.22,Bills,Debit Card,December
06-05-2025,Noise,10879.73,Electronics,Credit Card,May
09-09-2025,Vistara,4182.97,Travel,UPI,September
07-06-2025,BMTC,617.7,Transport,Credit Card,June
17-08-2025,Spotify,490.42,Entertainment,Net Banking,August
19-11-2025,Nykaa,7607.1,Online Shopping,Net Banking,November
28-08-2025,Star Bazaar,1578.72,Grocery,Net Banking,August
08-08-2025,Meru Cabs,784.22,Transport,Net Banking,August
20-10-2025,IRCTC,3217.19,Travel,Debit Card,October
27-05-2025,Zee5,501.74,Entertainment,Net Banking,May
12-10-2025,IRCTC,21553.14,Travel,Debit Card,October
24-04-2025,IndiGo,11264.19,Travel,Debit Card,April
07-03-2025,Levis,2109.88,Clothing,Debit Card,March
10-01-2025,Metro Rail,108.55,Transport,Credit Card,January
14-01-2025,Nykaa,4271.25,Online Shopping,Debit Card,January
28-12-2025,Airtel,3022.25,Bills,Credit Card,December
22-10-2025,Goibibo,6679.6,Travel,Credit Card,October
02-06-2025,McDonalds,306.22,Food,Credit Card,June
02-05-2025,Rapido,1897.85,Transport,Debit Card,May
09-04-2025,Booking.com,2582.11,Travel,UPI,April
02-02-2025,Yatra,1945.69,Travel,Debit Card,February
07-08-2025,HP World,115263.6,Electronics,UPI,August
16-02-2025,Allen Solly,2219.97,Clothing,UPI,February
30-01-2025,JioMart,2768.52,Grocery,Credit Card,January
18-01-2025,Dell Exclusive,70295.55,Electronics,Debit Card,January
04-05-2025,YouTube Premium,985.46,Entertainment,UPI,May
14-12-2025,Gaana,445.83,Entertainment,UPI,December
29-05-2025,Netmeds,19115.07,Healthcare,Net Banking,May
30-12-2025,Nature's Basket,1892.28,Grocery,Credit Card,December
29-08-2025,Airtel,2398.95,Bills,Net Banking,August
22-10-2025,Max Fashion,6234.9,Clothing,Debit Card,October
22-09-2025,Star Bazaar,608.49,Grocery,Debit Card,September
12-09-2025,A2B,1269.41,Food,Net Banking,September
18-01-2025,Biba,7312.79,Clothing,UPI,January
11-04-2025,Allen Solly,6724.87,Clothing,Net Banking,April
08-08-2025,Goibibo,11530.76,Travel,Credit Card,August
30-04-2025,Airtel,2992.03,Bills,Net Banking,April
22-01-2025,Puma,4725.53,Clothing,Credit Card,January
23-10-2025,OnePlus,20640.24,Electronics,Credit Card,October
12-06-2025,Meru Cabs,918.14,Transport,Net Banking,June
09-05-2025,IRCTC,24537.98,Travel,UPI,May
08-08-2025,Apollo Pharmacy,19169.17,Healthcare,Debit Card,August
28-11-2025,Star Bazaar,1510.01,Grocery,Net Banking,November
21-11-2025,Gas Agency,5388.53,Bills,Credit Card,November
23-12-2025,Gaana,966.47,Entertainment,Debit Card,December
06-04-2025,Goibibo,17641.79,Travel,Credit Card,April
01-11-2025,JioMart,4395.87,Grocery,UPI,November
24-09-2025,CloudNine,3719.11,Healthcare,Net Banking,September
07-01-2025,Water Board,5926.49,Bills,UPI,January
20-10-2025,Boat Lifestyle,84652.94,Electronics,UPI,October
29-09-2025,Meru Cabs,1058.67,Transport,UPI,September
30-12-2025,Apollo Pharmacy,14038.21,Healthcare,Net Banking,December
07-10-2025,Noise,108094.21,Electronics,UPI,October
08-08-2025,US Polo,4709.38,Clothing,Debit Card,August
