Date,Description,Amount,Category,PaymentMethod,Month,Year,Month_Number,Day,Weekday
2025-01-07,1mg,5915.31,Healthcare,Credit Card,January,2025,1,7,Tuesday
2025-09-25,redbus,647.8,Transport,Credit Card,September,2025,9,25,Thursday
2025-03-01,kfc,1391.99,Food,Debit Card,March,2025,3,1,Saturday
2025-06-16,kfc,716.57,Food,Credit Card,June,2025,6,16,Monday
2025-06-23,asus store,51012.52,Electronics,Credit Card,June,2025,6,23,Monday
2025-06-23,ccd,647.45,Food,Credit Card,June,2025,6,23,Monday
2025-03-24,tata cliq,1790.8,Online Shopping,Credit Card,March,2025,3,24,Monday
2025-12-28,irctc,11938.91,Travel,UPI,December,2025,12,28,Sunday
2025-09-04,a2b,923.34,Food,Credit Card,September,2025,9,4,Thursday
2025-07-19,bsnl,2466.57,Bills,Net Banking,July,2025,7,19,Saturday
2025-08-01,makemytrip,711.42,Travel,Debit Card,August,2025,8,1,Friday
2025-07-12,gas agency,3114.58,Bills,Net Banking,July,2025,7,12,Saturday
2025-10-30,nykaa,5289.31,Online Shopping,Net Banking,October,2025,10,30,Thursday
2025-12-14,aha,575.62,Entertainment,Net Banking,December,2025,12,14,Sunday
2025-03-01,star bazaar,2596.25,Grocery,Debit Card,March,2025,3,1,Saturday
2025-05-23,apple music,463.83,Entertainment,Net Banking,May,2025,5,23,Friday
2025-02-26,zara,7724.55,Clothing,UPI,February,2025,2,26,Wednesday
2025-08-10,yulu bikes,497.37,Transport,Net Banking,August,2025,8,10,Sunday
2025-12-08,a2b,533.28,Food,Net Banking,December,2025,12,8,Monday
2025-04-22,tneb,3094.6,Bills,Debit Card,April,2025,4,22,Tuesday
2025-01-16,amazon,16163.41,Online Shopping,Debit Card,January,2025,1,16,Thursday
2025-03-08,irctc,28156.44,Travel,UPI,March,2025,3,8,Saturday
2025-06-12,uber,858.21,Transport,Net Banking,June,2025,6,12,Thursday
2025-07-25,boat lifestyle,41879.08,Electronics,Credit Card,July,2025,7,25,Friday
2025-04-29,apollo pharmacy,17508.96,Healthcare,Credit Card,April,2025,4,29,Tuesday
2025-02-28,dell exclusive,44535.67,Electronics,Credit Card,February,2025,2,28,Friday
2025-06-12,burger king,1482.48,Food,Credit Card,June,2025,6,12,Thursday
2025-12-08,apollo pharmacy,5179.58,Healthcare,UPI,December,2025,12,8,Monday
2025-05-15,jiomart,3888.14,Grocery,Credit Card,May,2025,5,15,Thursday
2025-06-30,taco bell,485.5,Food,Credit Card,June,2025,6,30,Monday
2025-03-12,makemytrip,17031.73,Travel,Net Banking,March,2025,3,12,Wednesday
2025-07-16,reliance fresh,3531.18,Grocery,Debit Card,July,2025,7,16,Wednesday
2025-04-20,tneb,5773.77,Bills,Debit Card,April,2025,4,20,Sunday
2025-09-09,yatra,15370.31,Travel,Net Banking,September,2025,9,9,Tuesday
2025-03-20,max fashion,7865.01,Clothing,UPI,March,2025,3,20,Thursday
2025-03-07,gaana,771.64,Entertainment,UPI,March,2025,3,7,Friday
2025-11-13,croma,86050.58,Electronics,UPI,November,2025,11,13,Thursday
2025-07-26,vodafone idea,2488.2,Bills,Net Banking,July,2025,7,26,Saturday
2025-02-05,nykaa,15289.18,Online Shopping,UPI,February,2025,2,5,Wednesday
2025-07-27,aster,14374.2,Healthcare,Net Banking,July,2025,7,27,Sunday
2025-08-20,tsrtc,552.84,Transport,UPI,August,2025,8,20,Wednesday
2025-02-28,subway,584.77,Food,Debit Card,February,2025,2,28,Friday
2025-08-24,biba,3984.7,Clothing,Credit Card,August,2025,8,24,Sunday
2025-09-18,barbeque nation,225.83,Food,UPI,September,2025,9,18,Thursday
2025-03-05,lenskart,12167.39,Online Shopping,Net Banking,March,2025,3,5,Wednesday
2025-07-08,1mg,4706.32,Healthcare,Credit Card,July,2025,7,8,Tuesday
2025-12-10,apollo hospital,4280.45,Healthcare,Net Banking,December,2025,12,10,Wednesday
2025-05-31,cloudnine,13688.77,Healthcare,Credit Card,May,2025,5,31,Saturday
2025-12-20,youtube premium,952.79,Entertainment,Debit Card,December,2025,12,20,Saturday
2025-12-15,vivo store,114052.4,Electronics,Credit Card,December,2025,12,15,Monday
2025-08-29,fortis,16563.55,Healthcare,Net Banking,August,2025,8,29,Friday
2025-10-03,bmtc,341.51,Transport,Credit Card,October,2025,10,3,Friday
2025-02-23,metro rail,1380.2,Transport,Debit Card,February,2025,2,23,Sunday
2025-10-20,sonyliv,454.06,Entertainment,Credit Card,October,2025,10,20,Monday
2025-06-07,apple music,864.11,Entertainment,UPI,June,2025,6,7,Saturday
2025-08-12,woodland,6462.69,Clothing,Debit Card,August,2025,8,12,Tuesday
2025-12-19,airasia,27975.54,Travel,Net Banking,December,2025,12,19,Friday
2025-02-10,airtel,2083.94,Bills,Credit Card,February,2025,2,10,Monday
2025-10-10,rapido,1659.59,Transport,UPI,October,2025,10,10,Friday
2025-10-09,netmeds,14081.65,Healthcare,UPI,October,2025,10,9,Thursday
2025-12-30,max fashion,7719.07,Clothing,UPI,December,2025,12,30,Tuesday
2025-12-21,gaana,514.7,Entertainment,Net Banking,December,2025,12,21,Sunday
2025-07-02,airasia,25965.32,Travel,Net Banking,July,2025,7,2,Wednesday
2025-12-09,hotstar,331.5,Entertainment,Credit Card,December,2025,12,9,Tuesday
2025-02-17,medplus,9109.9,Healthcare,Debit Card,February,2025,2,17,Monday
2025-07-03,vodafone idea,1980.93,Bills,Credit Card,July,2025,7,3,Thursday
2025-12-29,asus store,28844.76,Electronics,Debit Card,December,2025,12,29,Monday
2025-02-20,ccd,1216.66,Food,Net Banking,February,2025,2,20,Thursday
2025-11-14,tata cliq,12249.5,Online Shopping,Net Banking,November,2025,11,14,Friday
2025-02-22,irctc,28407.42,Travel,Debit Card,February,2025,2,22,Saturday
2025-05-27,a2b,430.59,Food,Debit Card,May,2025,5,27,Tuesday
2025-03-10,boat lifestyle,72988.29,Electronics,UPI,March,2025,3,10,Monday
2025-02-06,ola,237.18,Transport,UPI,February,2025,2,6,Thursday
2025-04-06,netflix,307.22,Entertainment,Debit Card,April,2025,4,6,Sunday
2025-10-17,pepperfry,6589.03,Online Shopping,Debit Card,October,2025,10,17,Friday
2025-02-12,starbucks,733.84,Food,Debit Card,February,2025,2,12,Wednesday
2025-06-16,flipkart,13686.78,Online Shopping,Net Banking,June,2025,6,16,Monday
2025-05-08,apollo pharmacy,3853.02,Healthcare,Net Banking,May,2025,5,8,Thursday
2025-12-16,starbucks,1342.17,Food,Debit Card,December,2025,12,16,Tuesday
2025-05-18,pizza hut,675.19,Food,Net Banking,May,2025,5,18,Sunday
2025-05-20,water board,4197.89,Bills,Credit Card,May,2025,5,20,Tuesday
2025-03-12,redbus,1044.41,Transport,UPI,March,2025,3,12,Wednesday
2025-10-19,a2b,376.89,Food,Credit Card,October,2025,10,19,Sunday
2025-07-24,gas agency,3522.02,Bills,UPI,July,2025,7,24,Thursday
2025-01-24,flipkart,19236.46,Online Shopping,Debit Card,January,2025,1,24,Friday
2025-01-01,aha,241.25,Entertainment,UPI,January,2025,1,1,Wednesday
2025-03-12,metro rail,908.94,Transport,Debit Card,March,2025,3,12,Wednesday
2025-10-14,fortis,10531.94,Healthcare,Credit Card,October,2025,10,14,Tuesday
2025-12-08,jio fiber,243.95,Bills,Credit Card,December,2025,12,8,Monday
2025-01-29,meru cabs,1981.27,Transport,Credit Card,January,2025,1,29,Wednesday
2025-05-02,medplus,12835.69,Healthcare,Net Banking,May,2025,5,2,Friday
2025-02-19,bsnl,3019.68,Bills,UPI,February,2025,2,19,Wednesday
2025-08-27,taco bell,754.31,Food,Net Banking,August,2025,8,27,Wednesday
2025-05-26,h&m,2357.37,Clothing,Credit Card,May,2025,5,26,Monday
2025-04-13,us polo,3734.99,Clothing,Debit Card,April,2025,4,13,Sunday
2025-12-31,spotify,103.51,Entertainment,UPI,December,2025,12,31,Wednesday
2025-03-10,cream stone,497.17,Food,UPI,March,2025,3,10,Monday
2025-07-04,apollo pharmacy,16457.98,Healthcare,Credit Card,July,2025,7,4,Friday
2025-07-21,jiomart,2272.22,Grocery,UPI,July,2025,7,21,Monday
2025-04-28,levis,1619.54,Clothing,Credit Card,April,2025,4,28,Monday
2025-02-10,ola,481.64,Transport,Credit Card,February,2025,2,10,Monday
2025-06-15,ccd,1347.75,Food,UPI,June,2025,6,15,Sunday
2025-09-19,youtube premium,915.46,Entertainment,Credit Card,September,2025,9,19,Friday
2025-08-07,woodland,5579.89,Clothing,Credit Card,August,2025,8,7,Thursday
2025-11-18,redbus,433.62,Transport,UPI,November,2025,11,18,Tuesday
2025-08-20,tata cliq,11302.02,Online Shopping,Debit Card,August,2025,8,20,Wednesday
2025-02-06,myntra,17133.19,Online Shopping,Debit Card,February,2025,2,6,Thursday
2025-04-15,subway,548.69,Food,Credit Card,April,2025,4,15,Tuesday
2025-06-01,airtel,2221.56,Bills,UPI,June,2025,6,1,Sunday
2025-07-22,flipkart,4922.32,Online Shopping,UPI,July,2025,7,22,Tuesday
2025-04-08,biba,4972.83,Clothing,UPI,April,2025,4,8,Tuesday
2025-11-16,sony center,51855.47,Electronics,Credit Card,November,2025,11,16,Sunday
2025-05-01,flipkart,1474.18,Online Shopping,Credit Card,May,2025,5,1,Thursday
2025-07-13,bigbazaar,1314.67,Grocery,Debit Card,July,2025,7,13,Sunday
2025-12-21,dell exclusive,105066.91,Electronics,UPI,December,2025,12,21,Sunday
2025-07-26,nilgiris,2453.61,Grocery,UPI,July,2025,7,26,Saturday
2025-03-14,airtel,2522.7,Bills,Net Banking,March,2025,3,14,Friday
2025-05-08,ola,87.36,Transport,Credit Card,May,2025,5,8,Thursday
2025-09-12,gas agency,5965.42,Bills,Debit Card,September,2025,9,12,Friday
2025-04-04,zee5,670.11,Entertainment,Credit Card,April,2025,4,4,Friday
2025-02-17,vodafone idea,1857.65,Bills,UPI,February,2025,2,17,Monday
2025-06-25,ajio,18324.08,Online Shopping,Credit Card,June,2025,6,25,Wednesday
2025-06-12,bigbazaar,3499.51,Grocery,Credit Card,June,2025,6,12,Thursday
2025-02-20,myntra,2699.49,Online Shopping,Credit Card,February,2025,2,20,Thursday
2025-03-17,nature's basket,608.18,Grocery,Debit Card,March,2025,3,17,Monday
2025-03-27,aster,8630.26,Healthcare,UPI,March,2025,3,27,Thursday
2025-04-20,spencers,3647.32,Grocery,Debit Card,April,2025,4,20,Sunday
2025-06-28,chai point,693.82,Food,Debit Card,June,2025,6,28,Saturday
2025-08-08,spotify,286.64,Entertainment,Net Banking,August,2025,8,8,Friday
2025-03-08,redbus,149.49,Transport,Debit Card,March,2025,3,8,Saturday
2025-05-16,burger king,121.11,Food,UPI,May,2025,5,16,Friday
2025-09-14,nykaa,5006.92,Online Shopping,UPI,September,2025,9,14,Sunday
2025-09-06,tsrtc,1367.59,Transport,Net Banking,September,2025,9,6,Saturday
2025-09-17,sony center,74144.84,Electronics,Credit Card,September,2025,9,17,Wednesday
2025-07-26,flipkart,17805.48,Online Shopping,Net Banking,July,2025,7,26,Saturday
2025-11-02,gaana,466.87,Entertainment,UPI,November,2025,11,2,Sunday
2025-01-24,asus store,114658.74,Electronics,Credit Card,January,2025,1,24,Friday
2025-11-21,boat lifestyle,63126.18,Electronics,Credit Card,November,2025,11,21,Friday
2025-07-22,dmart,4520.89,Grocery,Net Banking,July,2025,7,22,Tuesday
2025-05-28,pantaloons,3711.92,Clothing,Credit Card,May,2025,5,28,Wednesday
2025-10-22,uber,1814.0,Transport,Debit Card,October,2025,10,22,Wednesday
2025-05-17,zee5,725.04,Entertainment,Debit Card,May,2025,5,17,Saturday
2025-03-04,medplus,10656.21,Healthcare,Net Banking,March,2025,3,4,Tuesday
2025-11-01,medplus,5480.15,Healthcare,Net Banking,November,2025,11,1,Saturday
2025-09-14,irctc,8686.28,Travel,Net Banking,September,2025,9,14,Sunday
2025-04-10,jiomart,2911.82,Grocery,UPI,April,2025,4,10,Thursday
2025-01-15,cream stone,1095.79,Food,Debit Card,January,2025,1,15,Wednesday
2025-10-17,medplus,2470.24,Healthcare,Credit Card,October,2025,10,17,Friday
2025-03-23,paradise biryani,1381.26,Food,Credit Card,March,2025,3,23,Sunday
2025-10-12,meesho,878.42,Online Shopping,Net Banking,October,2025,10,12,Sunday
2025-07-28,cream stone,1201.6,Food,Debit Card,July,2025,7,28,Monday
2025-10-17,star bazaar,1838.04,Grocery,Debit Card,October,2025,10,17,Friday
2025-01-10,zara,3897.33,Clothing,Credit Card,January,2025,1,10,Friday
2025-05-25,meru cabs,123.67,Transport,UPI,May,2025,5,25,Sunday
2025-08-27,uber,905.47,Transport,Debit Card,August,2025,8,27,Wednesday
2025-07-07,act fibernet,4835.37,Bills,Debit Card,July,2025,7,7,Monday
2025-07-08,allen solly,2347.76,Clothing,Net Banking,July,2025,7,8,Tuesday
2025-12-19,youtube premium,475.91,Entertainment,Debit Card,December,2025,12,19,Friday
2025-03-28,allen solly,5577.84,Clothing,UPI,March,2025,3,28,Friday
2025-05-07,cloudnine,14464.14,Healthcare,Credit Card,May,2025,5,7,Wednesday
2025-02-11,yulu bikes,1852.26,Transport,UPI,February,2025,2,11,Tuesday
2025-12-31,airasia,21195.5,Travel,UPI,December,2025,12,31,Wednesday
2025-02-23,reliance digital,47672.43,Electronics,UPI,February,2025,2,23,Sunday
2025-02-09,meesho,18826.29,Online Shopping,Credit Card,February,2025,2,9,Sunday
2025-12-07,booking.com,1904.74,Travel,Debit Card,December,2025,12,7,Sunday
2025-10-03,makemytrip,14597.06,Travel,Credit Card,October,2025,10,3,Friday
2025-05-22,amazon prime,834.88,Entertainment,UPI,May,2025,5,22,Thursday
2025-09-02,hp world,130859.65,Electronics,Debit Card,September,2025,9,2,Tuesday
2025-09-09,nature's basket,664.81,Grocery,Net Banking,September,2025,9,9,Tuesday
2025-08-24,makemytrip,2757.21,Travel,Credit Card,August,2025,8,24,Sunday
2025-11-28,amazon,3248.68,Online Shopping,UPI,November,2025,11,28,Friday
2025-03-29,fortis,9827.99,Healthcare,Net Banking,March,2025,3,29,Saturday
2025-12-06,lenskart,783.38,Online Shopping,Net Banking,December,2025,12,6,Saturday
2025-11-20,fortis,3969.19,Healthcare,Net Banking,November,2025,11,20,Thursday
2025-03-08,meru cabs,268.15,Transport,UPI,March,2025,3,8,Saturday
2025-10-21,water board,1456.52,Bills,Credit Card,October,2025,10,21,Tuesday
2025-06-19,paradise biryani,1378.25,Food,UPI,June,2025,6,19,Thursday
2025-07-14,saravana bhavan,215.36,Food,Credit Card,July,2025,7,14,Monday
2025-09-26,reliance digital,65943.25,Electronics,UPI,September,2025,9,26,Friday
2025-11-29,uber,607.47,Transport,Net Banking,November,2025,11,29,Saturday
2025-02-05,snapdeal,6507.75,Online Shopping,UPI,February,2025,2,5,Wednesday
2025-05-12,flipkart,13904.33,Online Shopping,UPI,May,2025,5,12,Monday
2025-04-20,netflix,796.72,Entertainment,Credit Card,April,2025,4,20,Sunday
2025-02-01,more supermarket,4205.24,Grocery,Credit Card,February,2025,2,1,Saturday
2025-03-26,redbus,1747.46,Transport,UPI,March,2025,3,26,Wednesday
2025-06-12,1mg,19131.44,Healthcare,UPI,June,2025,6,12,Thursday
2025-05-11,netflix,438.34,Entertainment,Debit Card,May,2025,5,11,Sunday
2025-05-18,vodafone idea,337.62,Bills,Net Banking,May,2025,5,18,Sunday
2025-04-24,irctc,21291.42,Travel,Debit Card,April,2025,4,24,Thursday
2025-04-04,irctc,1519.58,Travel,Credit Card,April,2025,4,4,Friday
2025-06-24,spotify,221.53,Entertainment,Credit Card,June,2025,6,24,Tuesday
2025-05-17,meru cabs,250.15,Transport,Credit Card,May,2025,5,17,Saturday
2025-03-17,spencers,4383.09,Grocery,UPI,March,2025,3,17,Monday
2025-08-07,subway,853.88,Food,Debit Card,August,2025,8,7,Thursday
2025-03-30,tata cliq,15375.04,Online Shopping,Net Banking,March,2025,3,30,Sunday
2025-12-01,noise,97430.82,Electronics,Credit Card,December,2025,12,1,Monday
2025-03-01,irctc,2496.95,Travel,Credit Card,March,2025,3,1,Saturday
2025-05-09,air india,11557.57,Travel,Credit Card,May,2025,5,9,Friday
2025-07-11,goibibo,17366.05,Travel,Net Banking,July,2025,7,11,Friday
2025-03-26,goibibo,10062.4,Travel,Net Banking,March,2025,3,26,Wednesday
2025-05-12,reliance fresh,3311.14,Grocery,Net Banking,May,2025,5,12,Monday
2025-08-30,airtel,2483.13,Bills,Credit Card,August,2025,8,30,Saturday
2025-07-26,boat lifestyle,53150.81,Electronics,Credit Card,July,2025,7,26,Saturday
2025-06-26,levis,847.61,Clothing,Net Banking,June,2025,6,26,Thursday
2025-04-10,bigbazaar,448.72,Grocery,Credit Card,April,2025,4,10,Thursday
2025-03-26,vistara,23383.94,Travel,Net Banking,March,2025,3,26,Wednesday
2025-06-30,netflix,841.24,Entertainment,Credit Card,June,2025,6,30,Monday
2025-03-01,netflix,869.52,Entertainment,UPI,March,2025,3,1,Saturday
2025-12-20,pharmeasy,11288.62,Healthcare,Net Banking,December,2025,12,20,Saturday
2025-07-04,burger king,104.99,Food,Debit Card,July,2025,7,4,Friday
2025-12-03,amazon,14206.76,Online Shopping,Debit Card,December,2025,12,3,Wednesday
2025-04-21,goibibo,22087.93,Travel,Credit Card,April,2025,4,21,Monday
2025-09-10,irctc,4831.09,Travel,UPI,September,2025,9,10,Wednesday
2025-06-28,puma,6807.54,Clothing,UPI,June,2025,6,28,Saturday
2025-01-16,netflix,963.96,Entertainment,UPI,January,2025,1,16,Thursday
2025-03-19,ajio,9612.2,Online Shopping,Credit Card,March,2025,3,19,Wednesday
2025-12-22,gaana,510.6,Entertainment,Net Banking,December,2025,12,22,Monday
2025-02-10,property tax online,1757.04,Bills,Net Banking,February,2025,2,10,Monday
2025-12-19,apollo hospital,10807.71,Healthcare,Credit Card,December,2025,12,19,Friday
2025-09-03,nykaa,14126.42,Online Shopping,UPI,September,2025,9,3,Wednesday
2025-09-14,airasia,21982.39,Travel,Net Banking,September,2025,9,14,Sunday
2025-04-04,ola,1635.97,Transport,Debit Card,April,2025,4,4,Friday
2025-10-18,cloudnine,16282.69,Healthcare,UPI,October,2025,10,18,Saturday
2025-05-07,indigo,12184.4,Travel,Credit Card,May,2025,5,7,Wednesday
2025-09-20,bsnl,2991.84,Bills,Debit Card,September,2025,9,20,Saturday
2025-01-08,meesho,9256.43,Online Shopping,UPI,January,2025,1,8,Wednesday
2025-03-06,dominos,657.5,Food,Credit Card,March,2025,3,6,Thursday
2025-03-22,aster,9501.15,Healthcare,Credit Card,March,2025,3,22,Saturday
2025-01-04,lenskart,8910.28,Online Shopping,Debit Card,January,2025,1,4,Saturday
2025-06-29,tata cliq,18813.02,Online Shopping,Credit Card,June,2025,6,29,Sunday
2025-10-30,metro rail,1090.93,Transport,Credit Card,October,2025,10,30,Thursday
2025-04-28,myntra,2999.44,Online Shopping,UPI,April,2025,4,28,Monday
2025-03-26,gas agency,4376.74,Bills,UPI,March,2025,3,26,Wednesday
2025-08-14,tneb,1016.78,Bills,Debit Card,August,2025,8,14,Thursday
2025-12-07,nilgiris,2155.9,Grocery,UPI,December,2025,12,7,Sunday
2025-10-12,amazon,11782.88,Online Shopping,UPI,October,2025,10,12,Sunday
2025-09-25,kauvery,2179.5,Healthcare,UPI,September,2025,9,25,Thursday
2025-05-23,apollo pharmacy,9747.14,Healthcare,Net Banking,May,2025,5,23,Friday
2025-08-26,croma,101364.36,Electronics,Net Banking,August,2025,8,26,Tuesday
2025-11-13,kfc,844.53,Food,Net Banking,November,2025,11,13,Thursday
2025-01-15,vivo store,68611.46,Electronics,Net Banking,January,2025,1,15,Wednesday
2025-04-01,cream stone,719.47,Food,Debit Card,April,2025,4,1,Tuesday
2025-08-22,levis,5627.87,Clothing,Credit Card,August,2025,8,22,Friday
2025-05-08,makemytrip,12454.55,Travel,Credit Card,May,2025,5,8,Thursday
2025-10-19,bsnl,351.06,Bills,Net Banking,October,2025,10,19,Sunday
2025-07-28,meesho,16544.33,Online Shopping,Debit Card,July,2025,7,28,Monday
2025-06-05,amazon,9108.43,Online Shopping,Credit Card,June,2025,6,5,Thursday
2025-01-29,biba,7790.96,Clothing,Debit Card,January,2025,1,29,Wednesday
2025-07-11,a2b,171.19,Food,Credit Card,July,2025,7,11,Friday
2025-11-28,tneb,2165.98,Bills,Debit Card,November,2025,11,28,Friday
2025-09-21,fortis,11799.17,Healthcare,Credit Card,September,2025,9,21,Sunday
2025-03-14,zee5,653.83,Entertainment,Net Banking,March,2025,3,14,Friday
2025-01-27,nature's basket,2888.22,Grocery,UPI,January,2025,1,27,Monday
2025-09-01,adidas,4188.29,Clothing,Net Banking,September,2025,9,1,Monday
2025-06-25,oneplus,123907.0,Electronics,UPI,June,2025,6,25,Wednesday
2025-07-09,gaana,956.55,Entertainment,UPI,July,2025,7,9,Wednesday
2025-08-03,act fibernet,2486.97,Bills,Credit Card,August,2025,8,3,Sunday
2025-05-26,booking.com,28995.33,Travel,Net Banking,May,2025,5,26,Monday
2025-05-16,reliance fresh,4372.86,Grocery,Net Banking,May,2025,5,16,Friday
2025-08-02,ccd,235.14,Food,Credit Card,August,2025,8,2,Saturday
2025-12-23,redbus,1299.33,Transport,Net Banking,December,2025,12,23,Tuesday
2025-02-12,bmtc,1510.59,Transport,Net Banking,February,2025,2,12,Wednesday
2025-02-08,zee5,169.38,Entertainment,Credit Card,February,2025,2,8,Saturday
2025-03-16,netmeds,11556.73,Healthcare,Credit Card,March,2025,3,16,Sunday
2025-08-21,apple music,206.22,Entertainment,Credit Card,August,2025,8,21,Thursday
2025-01-15,metro rail,1318.26,Transport,Net Banking,January,2025,1,15,Wednesday
2025-11-20,gaana,984.79,Entertainment,Net Banking,November,2025,11,20,Thursday
2025-07-12,aster,2898.85,Healthcare,Debit Card,July,2025,7,12,Saturday
2025-07-12,amazon,6885.28,Online Shopping,Net Banking,July,2025,7,12,Saturday
2025-10-26,nykaa,9014.08,Online Shopping,Credit Card,October,2025,10,26,Sunday
2025-01-13,flipkart,19775.63,Online Shopping,Net Banking,January,2025,1,13,Monday
2025-07-22,property tax online,404.24,Bills,Credit Card,July,2025,7,22,Tuesday
2025-04-27,vistara,29561.22,Travel,Credit Card,April,2025,4,27,Sunday
2025-12-27,adidas,4040.04,Clothing,Debit Card,December,2025,12,27,Saturday
2025-06-24,airtel,3855.81,Bills,Net Banking,June,2025,6,24,Tuesday
2025-12-25,1mg,6234.55,Healthcare,Net Banking,December,2025,12,25,Thursday
2025-08-23,kauvery,7270.59,Healthcare,Net Banking,August,2025,8,23,Saturday
2025-02-13,paradise biryani,141.29,Food,Credit Card,February,2025,2,13,Thursday
2025-11-02,saravana bhavan,668.41,Food,Net Banking,November,2025,11,2,Sunday
2025-03-03,wrogn,5949.64,Clothing,UPI,March,2025,3,3,Monday
2025-03-25,reliance fresh,1319.6,Grocery,UPI,March,2025,3,25,Tuesday
2025-06-27,burger king,1402.68,Food,UPI,June,2025,6,27,Friday
2025-03-23,netmeds,19353.19,Healthcare,Credit Card,March,2025,3,23,Sunday
2025-03-05,spotify,495.55,Entertainment,Debit Card,March,2025,3,5,Wednesday
2025-09-03,allen solly,6615.92,Clothing,Debit Card,September,2025,9,3,Wednesday
2025-03-11,pantaloons,7479.22,Clothing,Debit Card,March,2025,3,11,Tuesday
2025-06-14,yulu bikes,729.75,Transport,Net Banking,June,2025,6,14,Saturday
2025-01-15,makemytrip,29764.79,Travel,Credit Card,January,2025,1,15,Wednesday
2025-03-06,hotstar,732.77,Entertainment,Net Banking,March,2025,3,6,Thursday
2025-06-13,1mg,8048.87,Healthcare,Net Banking,June,2025,6,13,Friday
2025-09-12,max fashion,5523.12,Clothing,Net Banking,September,2025,9,12,Friday
2025-10-07,reliance fresh,1168.83,Grocery,UPI,October,2025,10,7,Tuesday
2025-10-12,aha,443.24,Entertainment,UPI,October,2025,10,12,Sunday
2025-03-04,spotify,406.84,Entertainment,Credit Card,March,2025,3,4,Tuesday
2025-02-17,reliance fresh,3602.97,Grocery,Net Banking,February,2025,2,17,Monday
2025-02-17,act fibernet,229.13,Bills,Debit Card,February,2025,2,17,Monday
2025-12-24,a2b,242.25,Food,Net Banking,December,2025,12,24,Wednesday
2025-08-15,aha,185.22,Entertainment,Debit Card,August,2025,8,15,Friday
2025-04-27,irctc,4503.95,Travel,Debit Card,April,2025,4,27,Sunday
2025-04-08,snapdeal,6742.63,Online Shopping,Net Banking,April,2025,4,8,Tuesday
2025-11-08,croma,118447.57,Electronics,UPI,November,2025,11,8,Saturday
2025-01-22,oyo,13509.18,Travel,Net Banking,January,2025,1,22,Wednesday
2025-10-29,jiomart,4801.98,Grocery,Net Banking,October,2025,10,29,Wednesday
2025-05-31,star bazaar,615.58,Grocery,Debit Card,May,2025,5,31,Saturday
2025-01-02,water board,4973.64,Bills,Credit Card,January,2025,1,2,Thursday
2025-05-20,redbus,145.72,Transport,UPI,May,2025,5,20,Tuesday
2025-10-28,snapdeal,13485.12,Online Shopping,UPI,October,2025,10,28,Tuesday
2025-10-10,puma,3533.77,Clothing,Credit Card,October,2025,10,10,Friday
2025-05-11,ajio,14732.43,Online Shopping,UPI,May,2025,5,11,Sunday
2025-11-09,amazon,10861.5,Online Shopping,UPI,November,2025,11,9,Sunday
2025-06-14,metro rail,1837.43,Transport,Credit Card,June,2025,6,14,Saturday
2025-11-10,saravana bhavan,1322.92,Food,Credit Card,November,2025,11,10,Monday
2025-01-25,apollo hospital,835.1,Healthcare,Credit Card,January,2025,1,25,Saturday
2025-12-02,spotify,252.1,Entertainment,Credit Card,December,2025,12,2,Tuesday
2025-02-09,jio fiber,5043.24,Bills,UPI,February,2025,2,9,Sunday
2025-10-16,vistara,25232.68,Travel,Credit Card,October,2025,10,16,Thursday
2025-03-17,levis,1046.61,Clothing,Debit Card,March,2025,3,17,Monday
2025-06-20,apollo hospital,5708.51,Healthcare,UPI,June,2025,6,20,Friday
2025-04-26,irctc,10001.9,Travel,Debit Card,April,2025,4,26,Saturday
2025-05-02,dell exclusive,105348.66,Electronics,UPI,May,2025,5,2,Friday
2025-10-18,aster,843.92,Healthcare,Debit Card,October,2025,10,18,Saturday
2025-04-04,snapdeal,15264.17,Online Shopping,Debit Card,April,2025,4,4,Friday
2025-07-17,property tax online,2341.7,Bills,Debit Card,July,2025,7,17,Thursday
2025-08-03,samsung store,110245.4,Electronics,UPI,August,2025,8,3,Sunday
2025-09-22,burger king,1436.2,Food,Debit Card,September,2025,9,22,Monday
2025-01-20,netmeds,11513.64,Healthcare,Net Banking,January,2025,1,20,Monday
2025-03-21,booking.com,10177.58,Travel,UPI,March,2025,3,21,Friday
2025-07-21,wrogn,2858.22,Clothing,Net Banking,July,2025,7,21,Monday
2025-01-31,1mg,894.49,Healthcare,Net Banking,January,2025,1,31,Friday
2025-03-22,taco bell,1147.84,Food,UPI,March,2025,3,22,Saturday
2025-05-29,aha,947.52,Entertainment,Credit Card,May,2025,5,29,Thursday
2025-04-13,aha,791.57,Entertainment,Credit Card,April,2025,4,13,Sunday
2025-04-09,adidas,1595.21,Clothing,Debit Card,April,2025,4,9,Wednesday
2025-11-15,apollo pharmacy,19854.49,Healthcare,Credit Card,November,2025,11,15,Saturday
2025-09-15,sonyliv,99.29,Entertainment,Credit Card,September,2025,9,15,Monday
2025-04-12,asus store,42805.02,Electronics,Credit Card,April,2025,4,12,Saturday
2025-06-01,star bazaar,2489.75,Grocery,UPI,June,2025,6,1,Sunday
2025-08-12,dmart,1783.43,Grocery,Net Banking,August,2025,8,12,Tuesday
2025-05-29,pantaloons,4875.57,Clothing,UPI,May,2025,5,29,Thursday
2025-03-07,amazon,4072.49,Online Shopping,Credit Card,March,2025,3,7,Friday
